FigFam	description	X188.non.day.1	X190.non.day.1	X191.non.day.1	X196.non.day.1	X197.non.day.1	X200.non.day.1	X187.carb.day.1	X189.carb.day.1	X192.carb.day.1	X194.carb.day.1	X195.carb.day.1	Pvalues	Qvalues	fold_change
FIG01958841_Phage_portal_(connector)_protein_	FIG01958841	Phage_portal_(connector)_protein_	0	0	0	2.2	0	0	1193.7	0	11.9	0	3.1	6.07E-06	0.034956387	659.2909091
FIG01287822_Phage_prohead_assembly_(scaffolding)_protein_	FIG01287822	Phage_prohead_assembly_(scaffolding)_protein_	0	2.1	0.8	0	0	0	1629	7.8	0	0	0	7.47E-06	0.034956387	677.2965517
FIG00533065_putative_transport_system_permease_ABC_transporter_protein_	FIG00533065	putative_transport_system_permease_ABC_transporter_protein_	3.3	0	0.8	0	8.2	4.6	1718.8	137	6	2.7	34.1	9.07E-06	0.034956387	134.8118343
FIG00003015_Nitrous-oxide_reductase_(EC_1.7.99.6)_	FIG00003015	Nitrous-oxide_reductase_(EC_1.7.99.6)_	0	0	0	0	0	0	0	0	57.7	0	399.8	1.23E-05	0.035436494	1830
FIG00526645_FIG00526646:_hypothetical_protein_	FIG00526645	FIG00526646:_hypothetical_protein_	1.7	2.1	2.3	15.4	2.2	23.1	2351.5	5.2	19.9	5.5	37.2	5.23E-05	0.120991016	62.03333333
FIG00795925_hypothetical_protein_(multi-domain)_	FIG00795925	hypothetical_protein_(multi-domain)_	3.3	0	0	0	479.2	0	0	0	0	0	0	0.000131617	0.253697839	-1608.333333
FIG01205172_Tn7-like_transposase_TnsA_	FIG01205172	Tn7-like_transposase_TnsA_	1.7	1.1	0	0	0.7	4.6	0	0	0	0	0	0.011416949	0.262744719	-27
FIG00521172_FIG00521176:_hypothetical_protein_	FIG00521172	FIG00521176:_hypothetical_protein_	11.7	55.8	91.5	197.1	68.7	576.2	40.4	7.8	4171.2	389.7	585.7	0.016527667	0.262744719	6.227532468
FIG01598377_FIG00518488:_hypothetical_protein_	FIG01598377	FIG00518488:_hypothetical_protein_	0	0	0	0	0.7	13.9	0	0	0	0	0	0.012112812	0.262744719	-48.66666667
"FIG00710498_Protein_of_unknown_function,_DUF583_superfamily_"	FIG00710498	"Protein_of_unknown_function,_DUF583_superfamily_"	0	1.1	3.9	0	0	9.3	0	0	0	0	0	0.010548013	0.262744719	-47.66666667
"FIG00009036_ABC_transporter,_permease_protein_EscB_"	FIG00009036	"ABC_transporter,_permease_protein_EscB_"	3.4	6.3	0	0	0.7	13.9	0	0	0	0	0	0.00669868	0.262744719	-81
"FIG00006237_Membrane_transporter_HdeD,_H-NS_repressed_"	FIG00006237	"Membrane_transporter_HdeD,_H-NS_repressed_"	1.7	1.1	0	0	0	4.6	0	0	0	0	0	0.013801658	0.262744719	-24.66666667
FIG00742770_FIG00742771:_hypothetical_protein_	FIG00742770	FIG00742771:_hypothetical_protein_	0	5.3	1.6	0	3	0	0	0	0	0	0	0.011997772	0.262744719	-33
FIG00442467_putative_phage_Major_head_protein_	FIG00442467	putative_phage_Major_head_protein_	0	0	0	0	0	0	4.5	10.3	0	1.4	3.1	0.002890642	0.262744719	77.2
FIG00948579_Acetate_operon_repressor_	FIG00948579	Acetate_operon_repressor_	1.7	0	0.8	0	0	9.3	0	0	0	0	0	0.011535249	0.262744719	-39.33333333
"FIG00993242_Oxidoreductase,_short-chain_dehydrogenase/reductase_family_"	FIG00993242	"Oxidoreductase,_short-chain_dehydrogenase/reductase_family_"	1.7	0	2.3	0	0	9.2	0	0	0	0	0	0.01084608	0.262744719	-44
FIG01384977_Ribosomal-protein-alanine_acetyltransferase_	FIG01384977	Ribosomal-protein-alanine_acetyltransferase_	0	0	0	0	0	0	0	0	4	0	12.4	0.004438911	0.262744719	65.6
FIG01307468_neutral_protease_	FIG01307468	neutral_protease_	0	0	10.2	0	0	278.9	0	0	2	0	6.2	0.012439204	0.262744719	-29.3800813
FIG00897641_FIG00897642:_hypothetical_protein_	FIG00897641	FIG00897642:_hypothetical_protein_	0	0	3.1	0	0	116.2	0	0	0	0	0	0.001488832	0.262744719	-397.6666667
FIG01311165_Putative_alpha_helix_chain_	FIG01311165	Putative_alpha_helix_chain_	3.3	0	0	2.2	0	4.6	0	0	0	0	0	0.011999157	0.262744719	-33.66666667
FIG01228903_conserved_hypothetical_protein_protein_	FIG01228903	conserved_hypothetical_protein_protein_	8.3	0	0.8	0	1.5	0	0	0	0	0	0	0.011962239	0.262744719	-35.33333333
FIG01179830_HI0933_family_protein_	FIG01179830	HI0933_family_protein_	1.7	1.1	0.8	7.7	0	0	0	0	0	0	0	0.010118177	0.262744719	-37.66666667
FIG01187134_FIG01187135:_hypothetical_protein_	FIG01187134	FIG01187135:_hypothetical_protein_	0	1.1	0	0	0.7	4.6	0	0	0	0	0	0.015122087	0.262744719	-21.33333333
"FIG00078081_Glutamine_synthetase_type_II,_eukaryotic_(EC_6.3.1.2)_"	FIG00078081	"Glutamine_synthetase_type_II,_eukaryotic_(EC_6.3.1.2)_"	0	0	0.8	4.4	6.7	0	0	0	329.9	0	0	0.004998491	0.262744719	33.26722689
FIG00732231_UPF0337_protein_yjbJ_	FIG00732231	UPF0337_protein_yjbJ_	1.7	0	0	0	0	9.3	0	0	0	0	0	0.013539703	0.262744719	-36.66666667
FIG00531231_FIG00531232:_hypothetical_protein_	FIG00531231	FIG00531232:_hypothetical_protein_	0	1.1	1.6	0	4.5	4.6	0	0	0	0	0	0.009662856	0.262744719	-39.33333333
FIG01233454_FIG01233455:_hypothetical_protein_	FIG01233454	FIG01233455:_hypothetical_protein_	0	0	2.3	0	0	120.9	0	0	0	0	0	0.00144679	0.262744719	-410.6666667
FIG00021381_Acriflavin_resistance_protein_/_Multidrug_efflux_system_CmeDEF_	FIG00021381	Acriflavin_resistance_protein_/_Multidrug_efflux_system_CmeDEF_	34.9	0	13.3	12.1	0	9.3	0	0	0	0	0	0.001749136	0.262744719	-232
"FIG00002268_ATP-dependent_DNA_ligase_(EC_6.5.1.1)_clustered_with_Ku_protein,_LigD_"	FIG00002268	"ATP-dependent_DNA_ligase_(EC_6.5.1.1)_clustered_with_Ku_protein,_LigD_"	6.7	4.3	41.5	2.2	37.3	697.3	0	0	8	2.7	40.3	0.016479836	0.262744719	-12.89705882
FIG00028335_Transcriptional_regulator_VpsT_	FIG00028335	Transcriptional_regulator_VpsT_	0	0	0	0	3	106.9	0	0	0	0	0	0.001691749	0.262744719	-366.3333333
FIG00007317_FIG007317:_hypothetical_protein_	FIG00007317	FIG007317:_hypothetical_protein_	123.3	38	387.6	806.2	68.6	1078.2	9128.1	863.7	989.8	257.8	533	0.010736187	0.262744719	5.64646069
FIG01960745_4-hydroxybenzoate_polyprenyltransferase_(EC_2.5.1.39)_	FIG01960745	4-hydroxybenzoate_polyprenyltransferase_(EC_2.5.1.39)_	3.3	1.1	0	2.2	0	0	0	0	0	0	0	0.016055601	0.262744719	-22
FIG01320296_Lipase_(EC_3.1.1.3)_	FIG01320296	Lipase_(EC_3.1.1.3)_	0	0	1.6	37.2	0	0	0	0	0	0	0	0.006245468	0.262744719	-129.3333333
"FIG01709179_phage_tail_tape_measure_protein,_family_"	FIG01709179	"phage_tail_tape_measure_protein,_family_"	0	0	0	0	0	0	0	38.8	0	4.1	0	0.001919547	0.262744719	171.6
FIG01605853_citrate_lyase_acyl_carrier_protein_	FIG01605853	citrate_lyase_acyl_carrier_protein_	0	0	1.6	0	0.7	4.6	0	0	0	0	0	0.013802494	0.262744719	-23
FIG01121768_tellurium_resistance_protein_	FIG01121768	tellurium_resistance_protein_	1.7	0	0	0	5.2	0	0	0	0	0	0	0.016809519	0.262744719	-23
"FIG00001224_Frataxin_homolog_CyaY,_facilitates_iron_supply_for_heme_A_synthesis_or_Fe-S_cluster_assembly_"	FIG00001224	"Frataxin_homolog_CyaY,_facilitates_iron_supply_for_heme_A_synthesis_or_Fe-S_cluster_assembly_"	0	0	0	0	0	0	4.5	2.6	2	0	0	0.005034098	0.262744719	36.4
"FIG01375408_Acetyltransferase,_including_N-acetylase_of_ribosomal_proteins_"	FIG01375408	"Acetyltransferase,_including_N-acetylase_of_ribosomal_proteins_"	0	2.1	0.8	1.1	2.2	0	0	0	0	0	0	0.014032992	0.262744719	-20.66666667
FIG01830376_FIG00624325:_hypothetical_protein_	FIG01830376	FIG00624325:_hypothetical_protein_	0	0	0	0	3	9.3	0	0	0	0	0	0.012849951	0.262744719	-41
FIG00139460_Lipoprotein_NlpD_	FIG00139460	Lipoprotein_NlpD_	1.7	0	0	3.3	0.7	18.6	0	0	0	0	0	0.006821187	0.262744719	-81
FIG01618643_Mor_transcription_activator_domain_protein_	FIG01618643	Mor_transcription_activator_domain_protein_	0	0	0	0	0	0	0	5.2	0	2.7	9.3	0.003482875	0.262744719	68.8
"FIG00054694_Predicted_rhamnose_oligosaccharide_ABC_transport_system,_substrate-binding_component_"	FIG00054694	"Predicted_rhamnose_oligosaccharide_ABC_transport_system,_substrate-binding_component_"	6.7	0	0	3.3	0	0	0	0	0	0	0	0.013939482	0.262744719	-33.33333333
FIG00670538_FIG00670539:_hypothetical_protein_	FIG00670538	FIG00670539:_hypothetical_protein_	1.7	3.2	0	0	0	0	0	0	117.2	52.1	114.7	0.000755093	0.262744719	69.55102041
FIG01325990_FIG00895146:_hypothetical_protein_	FIG01325990	FIG00895146:_hypothetical_protein_	0	0	0.8	0	0	13.9	0	0	0	0	0	0.012112127	0.262744719	-49
FIG00774488_FIG00774489:_hypothetical_protein_	FIG00774488	FIG00774489:_hypothetical_protein_	0	5.3	1.6	0	0	0	0	0	0	0	0	0.016806701	0.262744719	-23
FIG00553365_Zinc_transporter_ZupT_	FIG00553365	Zinc_transporter_ZupT_	1.7	0	0	1.1	0	4.6	0	0	0	0	0	0.013801086	0.262744719	-24.66666667
FIG00003039_Right_origin-binding_protein_	FIG00003039	Right_origin-binding_protein_	0	2.1	0	1.1	2.2	9.3	0	0	0	0	0	0.009246518	0.262744719	-49
FIG00021012_Outer_membrane_fibronectin-binding_protein_	FIG00021012	Outer_membrane_fibronectin-binding_protein_	0	0	0	0	0	0	0	0	13.9	0	74.4	0.00058434	0.262744719	353.2
FIG00748376_FIG00748377:_hypothetical_protein_	FIG00748376	FIG00748377:_hypothetical_protein_	3.3	0	1.6	0	1.5	9.3	0	0	0	0	0	0.008354326	0.262744719	-52.33333333
FIG01325744_methyltransferase_type_11_	FIG01325744	methyltransferase_type_11_	0	0	0	3.3	3	69.7	0	0	0	1.4	0	0.011940522	0.262744719	-45.23809524
FIG00217833_Predicted_L-rhamnose_mutarotase_	FIG00217833	Predicted_L-rhamnose_mutarotase_	0	3.2	0	0	0.7	4.6	0	0	0	0	0	0.012914109	0.262744719	-28.33333333
FIG01635694_FIG00415907:_hypothetical_protein_	FIG01635694	FIG00415907:_hypothetical_protein_	6.7	0	7	32.9	6	130.1	1813	214.6	33.8	599.6	105.4	0.000686269	0.262744719	18.17011494
FIG01312321_Prophage_Lp2_protein_6_	FIG01312321	Prophage_Lp2_protein_6_	0	2.1	1.6	0	0.7	18.6	0	0	0	0	0	0.007120837	0.262744719	-76.66666667
FIG00006742_Chaperone_HdeA_	FIG00006742	Chaperone_HdeA_	0	1.1	0	2.2	0.7	18.6	0	0	0	0	0	0.007517012	0.262744719	-75.33333333
FIG00741234_GGDEF/PAS/PAC-domain_containing_protein_	FIG00741234	GGDEF/PAS/PAC-domain_containing_protein_	1.7	0	0.8	1.1	3.7	27.9	0	0	0	0	0	0.004539498	0.262744719	-117.3333333
FIG01321527_phosphorylase_family_protein_	FIG01321527	phosphorylase_family_protein_	0	2.1	0.8	2.2	0.7	0	0	0	0	0	0	0.014031877	0.262744719	-19.33333333
FIG00008665_16_kDa_heat_shock_protein_A_	FIG00008665	16_kDa_heat_shock_protein_A_	79.9	17.9	0.8	359.2	4.5	237.1	13.5	12.9	4	5.5	0	0.005856789	0.262744719	-16.23491179
FIG01826069_gluconate_transporter_	FIG01826069	gluconate_transporter_	0	9.5	0	1.1	0	13.9	0	0	0	0	0	0.007616753	0.262744719	-81.66666667
FIG01353175_putative_single_strand_binding_protein_	FIG01353175	putative_single_strand_binding_protein_	0	2.1	1.6	0	8.2	0	0	0	0	0	0	0.011218569	0.262744719	-39.66666667
FIG00000906_FIG000906:_Predicted_Permease_	FIG00000906	FIG000906:_Predicted_Permease_	3.3	1.1	0	0	0	18.6	0	0	0	0	0	0.008335414	0.262744719	-76.66666667
"FIG00028204_Phage_lysin,_1,4-beta-N-acetylmuramidase_(EC_3.2.1.17)_or_lysozyme_"	FIG00028204	"Phage_lysin,_1,4-beta-N-acetylmuramidase_(EC_3.2.1.17)_or_lysozyme_"	0	0	0	6.6	0	69.7	0	0	0	0	0	0.002747181	0.262744719	-254.3333333
FIG01920520_FIG01055195:_hypothetical_protein_	FIG01920520	FIG01055195:_hypothetical_protein_	1.7	0	0	0	0	18.6	0	0	0	0	0	0.009983784	0.262744719	-67.66666667
FIG01674810_FIG00152082:_hypothetical_protein_	FIG01674810	FIG00152082:_hypothetical_protein_	59.9	0	19.6	0	9	148.7	1548.3	18.1	574.3	2.7	359.5	0.004495386	0.262744719	12.66222597
FIG00511359_Putative_sarcosine_oxidase_(EC_1.5.3.1)_	FIG00511359	Putative_sarcosine_oxidase_(EC_1.5.3.1)_	1.7	0	0	1.1	0	4.6	0	0	0	0	0	0.013801086	0.262744719	-24.66666667
FIG01037873_POSSIBLE_CONSERVED_INTEGRAL_MEMBRANE_PROTEIN_	FIG01037873	POSSIBLE_CONSERVED_INTEGRAL_MEMBRANE_PROTEIN_	0	2.1	0	0	0	0	0	0	2	83.7	0	0.007303188	0.262744719	48.97142857
FIG01347378_COG_family:_phosphoserine_phosphatase_	FIG01347378	COG_family:_phosphoserine_phosphatase_	0	0	0	15.3	2.2	9.3	0	0	0	0	0	0.00719081	0.262744719	-89.33333333
FIG01316616_Campylobacter_invasion_antigen_B_(CiaB)_	FIG01316616	Campylobacter_invasion_antigen_B_(CiaB)_	0	0	1.6	0	0.7	4.6	0	0	0	0	0	0.013802494	0.262744719	-23
FIG01632457_BplB_	FIG01632457	BplB_	0	0	0	0	1.5	4.6	0	0	0	0	0	0.016811644	0.262744719	-20.33333333
FIG01555679_FIG00748597:_hypothetical_protein_	FIG01555679	FIG00748597:_hypothetical_protein_	0	0	0	0	0.7	9.3	0	0	0	0	0	0.014509108	0.262744719	-33.33333333
