FIGFAMID,Level1,Level2,Level3,function
FIG00000001,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Alanine_biosynthesis,Cysteine___desulfurase
FIG00000004,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,3-ketoacyl-CoA___thiolase
FIG00000022,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,Quinate/shikimate___5-dehydrogenase___I___delta
FIG00000022,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,Shikimate___5-dehydrogenase___I___alpha
FIG00000022,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),Quinate/shikimate___5-dehydrogenase___I___delta
FIG00000022,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),Shikimate___5-dehydrogenase___I___alpha
FIG00000040,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Serine___hydroxymethyltransferase
FIG00000040,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_Biosynthesis,Serine___hydroxymethyltransferase
FIG00000040,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Serine_Biosynthesis,Serine___hydroxymethyltransferase
FIG00000084,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Ornithine___carbamoyltransferase
FIG00000084,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,Ornithine___carbamoyltransferase
FIG00000084,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Deiminase_Pathway,Ornithine___carbamoyltransferase
FIG00000087,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,ATP___phosphoribosyltransferase___regulatory___subunit
FIG00000121,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Seryl-tRNA___synthetase
FIG00000128,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Serine___acetyltransferase
FIG00000128,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Serine___acetyltransferase
FIG00000132,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,Aspartokinase
FIG00000132,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Aspartokinase
FIG00000134,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Threonine___synthase
