FigFam	description	X196.non.day.7	X200.non.day.7	X188.non.day.7	X190.non.day.7	X191.non.day.7	X197.non.day.7	X187.carb.day.7	X189.carb.day.7	X192.carb.day.7	X194.carb.day.7	X195.carb.day.7	X198.carb.day.7	Pvalues	Qvalues	fold_change	
FIG00939379_FIG00939381:_hypothetical_protein_	FIG00939379	FIG00939381:_hypothetical_protein_	0	0	0	0	2	0	0	0	1347.3	0	0	0	5.82E-05	0.018906107	673.65
FIG00752812_FIG00752816:_hypothetical_protein_	FIG00752812	FIG00752816:_hypothetical_protein_	0	0	0	0	0	0	7.2	0	167.9	0	0	5.8	0.000114971	0.030513372	603
FIG00958781_FIG00958782:_hypothetical_protein_	FIG00958781	FIG00958782:_hypothetical_protein_	0	2.1	0	0	0	0	1051.2	0	0	0	0	1.4	7.54E-05	0.023701566	501.2380952
FIG00645295_FIG00645302:_hypothetical_protein_	FIG00645295	FIG00645302:_hypothetical_protein_	0	0	0	0	0	0	94.2	0.9	4.7	33.9	0	0	0.000166573	0.035588662	445.6666667
FIG01649254_FIG00409457:_hypothetical_protein_	FIG01649254	FIG00409457:_hypothetical_protein_	0	0	0	0	0	0	79.7	4.7	4.7	0	0	0	0.000624211	0.061435907	297
"FIG01304860_[Ni/Fe]_hydrogenase,_group_1,_small_subunit_"	FIG01304860	"[Ni/Fe]_hydrogenase,_group_1,_small_subunit_"	0	0	0	0	0	0	79.7	0	5.6	0	0	2.9	0.000657043	0.062765331	294
FIG00521289_FIG00521294:_hypothetical_protein_	FIG00521289	FIG00521294:_hypothetical_protein_	0	0	0	0	0	0	0	0	0	83.1	0	4.3	0.000916669	0.072616171	291.3333333
FIG00776039_FIG00776040:_hypothetical_protein_	FIG00776039	FIG00776040:_hypothetical_protein_	0	0	0	0	0	0	14.5	9.5	23.3	35.6	0	0	0.000357816	0.051126139	276.3333333
FIG01788450_Putative_diguanylate_cyclase/phosphodiesterase(GGDEF_&_EAL_domains)_with_PAS/PAC_sensor(s)_	FIG01788450	Putative_diguanylate_cyclase/phosphodiesterase(GGDEF_&_EAL_domains)_with_PAS/PAC_sensor(s)_	0	0	0	0	0	0	0	0	0	0	55.3	14.5	0.001313915	0.084628257	232.6666667
FIG01546591_flavodoxin_family_protein_	FIG01546591	flavodoxin_family_protein_	0	0	0	0	0	0	7.2	0.9	23.3	35.6	0	0	0.000732851	0.06618165	223.3333333
FIG00672247_CRISPR-associated_protein_	FIG00672247	CRISPR-associated_protein_	0	0	0	0	0	0	7.2	1.9	22.4	25.4	0	1.4	0.000742458	0.06618165	194.3333333
"FIG01922362_prophage_LambdaSa2,_HNH_endonuclease_family_protein_"	FIG01922362	"prophage_LambdaSa2,_HNH_endonuclease_family_protein_"	0	0	0	0	0	0	0	0.9	53.2	3.4	0	0	0.001568925	0.089416662	191.6666667
FIG01768739_lipopolysaccharide_N-acetylglucosaminyltransferase_	FIG01768739	lipopolysaccharide_N-acetylglucosaminyltransferase_	0	2.1	0	0	4.9	0	7.2	2.8	1285.7	0	0	0	0.000128495	0.032948033	185.1
